Date and Time,Timestamp,Temperature,Humidity,Carbon Monoxide,Rain
07-12-2019 15:39:17,1575713357,25.40,68.00,27,Absent
07-12-2019 15:40:17,1575713417,25.40,68.00,27,Absent
07-12-2019 15:41:17,1575713477,25.40,68.00,26,Absent
07-12-2019 15:42:17,1575713537,25.40,68.00,26,Absent
07-12-2019 15:43:17,1575713597,25.40,68.00,25,Absent
07-12-2019 15:44:17,1575713657,25.40,68.00,25,Absent
07-12-2019 15:45:17,1575713717,25.40,68.00,25,Absent
07-12-2019 15:46:17,1575713777,25.40,67.00,24,Absent
07-12-2019 15:47:17,1575713837,25.50,67.00,24,Absent
07-12-2019 15:48:17,1575713897,25.50,67.00,24,Absent
07-12-2019 15:49:17,1575713957,25.40,67.00,23,Absent
07-12-2019 15:50:17,1575714017,25.40,67.00,23,Absent
07-12-2019 15:51:17,1575714077,25.40,67.00,23,Absent
07-12-2019 15:52:17,1575714137,25.40,67.00,23,Absent
07-12-2019 15:53:18,1575714198,25.40,67.00,22,Absent
07-12-2019 15:54:18,1575714258,25.40,67.00,22,Absent
07-12-2019 15:55:18,1575714318,25.40,67.00,22,Absent
07-12-2019 15:56:18,1575714378,25.40,67.00,22,Absent
07-12-2019 15:57:18,1575714438,25.40,67.00,21,Absent
07-12-2019 15:58:18,1575714498,25.50,67.00,21,Absent
07-12-2019 15:59:18,1575714558,25.50,67.00,21,Absent
07-12-2019 16:00:18,1575714618,25.40,67.00,21,Absent
07-12-2019 16:01:31,1575714691,25.40,67.00,21,Absent
07-12-2019 16:02:18,1575714738,25.30,67.00,21,Absent
07-12-2019 16:03:18,1575714798,25.20,68.00,20,Absent
07-12-2019 16:04:18,1575714858,25.20,68.00,20,Absent
07-12-2019 16:05:18,1575714918,25.20,68.00,20,Absent
07-12-2019 16:06:18,1575714978,25.20,68.00,20,Absent
07-12-2019 16:07:18,1575715038,25.20,68.00,20,Absent
07-12-2019 16:08:18,1575715098,25.20,68.00,19,Absent
07-12-2019 16:09:18,1575715158,25.20,68.00,19,Absent
07-12-2019 16:10:18,1575715218,25.20,68.00,19,Absent
07-12-2019 16:11:18,1575715278,25.20,68.00,19,Absent
07-12-2019 16:12:18,1575715338,25.20,68.00,19,Absent
07-12-2019 16:13:18,1575715398,25.20,68.00,19,Absent
07-12-2019 16:14:18,1575715458,25.20,68.00,19,Absent
07-12-2019 16:15:18,1575715518,25.20,68.00,19,Absent
07-12-2019 16:16:18,1575715578,25.20,68.00,18,Absent
07-12-2019 16:17:18,1575715638,25.20,68.00,18,Absent
07-12-2019 16:18:18,1575715698,25.20,68.00,18,Absent
07-12-2019 16:19:18,1575715758,25.10,68.00,18,Absent
07-12-2019 16:20:19,1575715819,25.20,68.00,18,Absent
07-12-2019 16:21:19,1575715879,25.20,68.00,18,Absent
07-12-2019 16:22:19,1575715939,25.20,68.00,18,Absent
07-12-2019 16:23:19,1575715999,25.10,68.00,17,Absent
07-12-2019 16:24:19,1575716059,25.20,68.00,17,Absent
07-12-2019 16:25:19,1575716119,25.10,68.00,17,Absent
07-12-2019 16:26:19,1575716179,25.20,68.00,17,Absent
07-12-2019 16:27:19,1575716239,25.20,68.00,17,Absent
07-12-2019 16:28:19,1575716299,25.20,68.00,17,Absent
07-12-2019 16:29:19,1575716359,25.10,68.00,17,Absent
07-12-2019 16:30:19,1575716419,25.10,68.00,17,Absent
07-12-2019 16:31:19,1575716479,25.10,68.00,17,Absent
07-12-2019 16:32:19,1575716539,25.10,68.00,17,Absent
07-12-2019 16:33:19,1575716599,25.20,68.00,17,Absent
07-12-2019 16:34:19,1575716659,25.20,67.00,17,Absent
07-12-2019 16:35:19,1575716719,25.20,67.00,17,Absent
07-12-2019 16:36:19,1575716779,25.20,68.00,17,Absent
07-12-2019 16:37:19,1575716839,25.20,68.00,17,Absent
07-12-2019 16:38:19,1575716899,25.10,68.00,17,Absent
07-12-2019 16:39:19,1575716959,25.20,68.00,16,Absent
07-12-2019 16:40:19,1575717019,25.10,68.00,16,Absent
07-12-2019 16:41:19,1575717079,25.20,68.00,16,Absent
07-12-2019 16:42:19,1575717139,25.20,68.00,16,Absent
07-12-2019 16:43:19,1575717199,25.10,68.00,16,Absent
07-12-2019 16:44:19,1575717259,25.20,68.00,16,Absent
07-12-2019 16:45:19,1575717319,25.20,68.00,16,Absent
07-12-2019 16:46:19,1575717379,25.20,68.00,16,Absent
07-12-2019 16:47:20,1575717440,25.20,68.00,16,Absent
07-12-2019 16:48:20,1575717500,25.10,68.00,16,Absent
07-12-2019 16:49:20,1575717560,25.10,68.00,16,Absent
07-12-2019 16:50:20,1575717620,25.10,68.00,16,Absent
07-12-2019 16:51:20,1575717680,25.10,68.00,16,Absent
07-12-2019 16:52:20,1575717740,25.20,68.00,16,Absent
07-12-2019 16:53:20,1575717800,25.20,67.00,16,Absent
07-12-2019 16:54:20,1575717860,25.20,67.00,16,Absent
07-12-2019 16:55:20,1575717920,25.20,67.00,16,Absent
07-12-2019 16:56:20,1575717980,25.20,67.00,16,Absent
07-12-2019 16:57:20,1575718040,25.20,67.00,16,Absent
07-12-2019 16:58:20,1575718100,25.30,67.00,16,Absent
07-12-2019 16:59:20,1575718160,25.40,67.00,16,Absent
07-12-2019 17:00:20,1575718220,25.40,67.00,16,Absent
07-12-2019 17:01:20,1575718280,25.40,67.00,15,Absent
07-12-2019 17:02:20,1575718340,25.30,67.00,15,Absent
07-12-2019 17:03:20,1575718400,25.30,67.00,15,Absent
07-12-2019 17:04:20,1575718460,25.30,67.00,15,Absent
07-12-2019 17:05:20,1575718520,25.40,67.00,15,Absent
07-12-2019 17:06:20,1575718580,25.40,67.00,15,Absent
07-12-2019 17:07:20,1575718640,25.30,67.00,15,Absent
07-12-2019 17:08:20,1575718700,25.30,67.00,15,Absent
07-12-2019 17:09:20,1575718760,25.30,67.00,15,Absent
07-12-2019 17:10:20,1575718820,25.30,67.00,15,Absent
07-12-2019 17:11:20,1575718880,25.30,67.00,15,Absent
07-12-2019 17:12:20,1575718940,25.40,67.00,15,Absent
07-12-2019 17:13:20,1575719000,25.30,67.00,15,Absent
07-12-2019 17:14:21,1575719061,25.30,68.00,15,Absent
07-12-2019 17:15:21,1575719121,25.30,67.00,15,Absent
07-12-2019 17:16:21,1575719181,25.30,67.00,15,Absent
07-12-2019 17:17:21,1575719241,25.30,68.00,15,Absent
07-12-2019 17:18:21,1575719301,25.30,67.00,15,Absent
07-12-2019 17:19:21,1575719361,25.30,68.00,15,Absent
07-12-2019 17:20:21,1575719421,25.30,68.00,15,Absent
07-12-2019 17:21:25,1575719485,25.20,68.00,15,Absent
07-12-2019 17:22:21,1575719541,25.30,67.00,15,Absent
07-12-2019 17:23:21,1575719601,25.40,68.00,15,Absent
07-12-2019 17:24:21,1575719661,25.40,67.00,15,Absent
07-12-2019 17:25:21,1575719721,25.40,67.00,15,Absent
07-12-2019 17:26:21,1575719781,25.50,67.00,15,Absent
07-12-2019 17:27:21,1575719841,25.40,67.00,15,Absent
07-12-2019 17:28:21,1575719901,25.40,67.00,15,Absent
07-12-2019 17:29:21,1575719961,25.40,67.00,14,Absent
07-12-2019 17:30:21,1575720021,25.40,68.00,14,Absent
07-12-2019 17:31:21,1575720081,25.40,67.00,14,Absent
07-12-2019 17:32:21,1575720141,25.40,67.00,14,Absent
07-12-2019 17:33:21,1575720201,25.40,67.00,14,Absent
